,0,1,2,3,4
1,AMS,BRU,CDG,NRT,2794
2,AMS,CDG,HEL,NRT,1088
3,AMS,CDG,ICN,PVG,3091
4,AMS,CDG,KIX,NRT,9985
5,AMS,CPH,PEK,CTU,1812
6,AMS,DOH,BKK,PVG,1080
7,AMS,EWR,ORD,NRT,9292
8,AMS,EWR,SFO,PVG,19551
9,AMS,EWR,SFO,TPE,7825
10,AMS,FRA,ICN,NRT,1393
11,AMS,FRA,ICN,TPE,2116
12,AMS,LHR,HEL,NRT,968
13,AMS,LIS,EWR,ATL,879
14,AMS,LIS,EWR,ORD,756
15,AMS,MUC,VIE,PVG,5764
16,AMS,VIE,FRA,LAX,329
17,AMS,VIE,ORD,ATL,603
18,AMS,VIE,ORD,DFW,292
19,ATL,BOS,AMS,CDG,2034
20,ATL,CDG,AMS,DXB,984
21,ATL,EWR,LIS,LHR,641
22,ATL,FLL,CUN,MEX,243
23,ATL,IAD,BRU,CDG,1192
24,ATL,IAD,BRU,LHR,1178
25,ATL,IAH,MTY,MEX,196
26,ATL,JFK,AUH,DXB,1612
27,ATL,LHR,FRA,NRT,8359
28,ATL,MIA,MAD,FRA,977
29,BCN,AMS,CDG,DXB,897
30,BCN,AMS,DTW,EWR,348
31,BCN,CDG,DTW,EWR,351
32,BCN,LHR,MIA,EWR,3129
33,BCN,LHR,ORD,MIA,655
34,BKK,AMS,CDG,DXB,4851
35,BKK,ICN,FRA,MAD,3483
36,BKK,MCT,FRA,MAD,618
37,BKK,SIN,ADL,SYD,7466
38,BKK,ZRH,GVA,CDG,782
39,BOM,AUH,BRU,CDG,3877
40,BOM,AUH,ISB,KUL,9441
41,BOM,BLR,TRZ,SIN,371
42,BOM,CDG,ATL,EWR,1097
43,BOM,LHR,HEL,NRT,2915
44,CAN,PEK,WAW,CDG,5383
45,CAN,PEK,YVR,LAX,1365
46,CAN,PVG,ICN,CGK,1975
47,CAN,SHA,BKK,DEL,3354
48,CAN,TSN,HAK,KMG,1374
49,CDG,AMS,BKK,HKG,1036
50,CDG,AMS,RIX,SVO,476
51,CDG,BCN,PMI,MAD,461
52,CDG,BRU,FRA,JFK,8624
53,CDG,BSL,AMS,MEX,1079
